Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
pixel_0195,,,665,0.0002,0.9930,1.0000,0.00,-0.00,-0.0000,746
pixel_0181,,,638,0.0002,0.9952,1.0000,0.00,-0.00,-0.0000,747
pixel_0477,,,304,0.0008,0.9943,1.0000,0.00,-0.00,-0.0000,748
pixel_0600,,,483,0.0005,0.9875,1.0000,0.01,-0.00,-0.0000,749
pixel_0199,,,324,0.0008,0.8851,1.0000,0.05,-0.00,-0.0000,750
pixel_0285,,,300,0.0008,0.9857,1.0000,0.01,-0.00,-0.0000,751
pixel_0243,,,562,0.0003,0.7072,1.0000,0.15,-0.00,-0.0000,752
pixel_0624,,,302,0.0008,0.6305,1.0000,0.20,-0.00,-0.0000,753
pixel_0380,,,274,0.0009,0.8960,1.0000,0.05,-0.00,-0.0000,754
pixel_0308,,,18,0.0034,0.5325,1.0000,0.27,-0.00,-0.0000,755
pixel_0586,,,246,0.0009,0.9734,1.0000,0.01,-0.00,-0.0000,756
pixel_0109,[T],,596,0.0003,0.8571,1.0000,0.07,-0.00,-0.0000,757
pixel_0495,,,40,0.0027,0.5764,1.0000,0.24,-0.00,-0.0000,758
pixel_0382,,,30,0.0030,0.8672,1.0000,0.06,-0.00,-0.0000,759
pixel_0188,,,394,0.0006,0.5991,1.0000,0.22,-0.00,-0.0000,760
pixel_0125,,,578,0.0003,1.0000,1.0000,0.00,-0.00,-0.0000,761
pixel_0471,,,113,0.0015,0.6625,1.0000,0.18,-0.00,-0.0000,762
pixel_0368,,,55,0.0023,0.8169,1.0000,0.09,-0.00,-0.0000,763
pixel_0183,,,701,0.0001,0.6516,1.0000,0.19,-0.00,-0.0000,764
pixel_0187,,,115,0.0015,0.9082,1.0000,0.04,-0.00,-0.0000,765
pixel_0532,,,35,0.0029,0.7258,1.0000,0.14,-0.00,-0.0000,766
pixel_0129,,,553,0.0004,0.7115,1.0000,0.15,-0.00,-0.0000,767
pixel_0391,,,46,0.0026,0.8264,1.0000,0.08,-0.00,-0.0000,768
pixel_0252,,,634,0.0002,0.6214,1.0000,0.21,-0.00,-0.0000,769
pixel_0164,,,498,0.0004,0.7568,1.0000,0.12,-0.00,-0.0000,770
pixel_0075,,,410,0.0006,0.9660,1.0000,0.02,-0.00,-0.0000,771
pixel_0387,,,232,0.0010,0.9999,1.0000,0.00,-0.00,-0.0000,772
pixel_0553,,,295,0.0008,0.7623,1.0000,0.12,-0.00,-0.0000,773
pixel_0364,[T],,540,0.0004,0.9989,1.0000,0.00,-0.00,-0.0000,774
pixel_0298,,,165,0.0013,0.8456,1.0000,0.07,-0.00,-0.0000,775
pixel_0066,[T],,214,0.0011,1.0000,1.0000,0.00,-0.00,-0.0000,776
pixel_0212,,,505,0.0004,0.9487,1.0000,0.02,-0.00,-0.0000,777
pixel_0351,,,669,0.0002,0.9880,1.0000,0.01,-0.00,-0.0000,778
pixel_0052,,,593,0.0003,0.7852,1.0000,0.10,-0.00,-0.0000,779
pixel_0196,,,664,0.0002,0.6700,1.0000,0.17,-0.00,-0.0000,780
pixel_0155,,,84,0.0018,0.6155,1.0000,0.21,-0.00,-0.0000,781
pixel_0027,,,433,0.0006,0.6499,1.0000,0.19,-0.00,-0.0000,782
pixel_0611,,,434,0.0006,0.7749,1.0000,0.11,-0.00,-0.0000,783
pixel_0045,,,678,0.0002,0.6365,1.0000,0.20,-0.00,-0.0000,784
