Feature,True,Sig,SHAP_Rank,SHAP_Value,P_Value,P_Value_Adj,-log10(p),-log10(p_adj),SiTe_Score,SiTe_Rank
pixel_0217,,,356,0.0007,0.0545,0.1273,1.26,0.90,0.0008,327
pixel_0676,,,132,0.0014,0.0272,0.0670,1.56,1.17,0.0008,328
pixel_0247,,,552,0.0004,0.0456,0.1072,1.34,0.97,0.0007,329
pixel_0072,,,266,0.0009,0.0422,0.0996,1.38,1.00,0.0007,330
pixel_0570,,,391,0.0006,0.0401,0.0949,1.40,1.02,0.0007,331
pixel_0006,,,730,0.0001,0.0360,0.0858,1.44,1.07,0.0007,332
pixel_0283,[T],,659,0.0002,0.0360,0.0858,1.44,1.07,0.0007,333
pixel_0250,,,445,0.0005,0.0620,0.1429,1.21,0.84,0.0007,334
pixel_0741,,,88,0.0017,0.0697,0.1593,1.16,0.80,0.0007,335
pixel_0256,,,332,0.0007,0.0389,0.0924,1.41,1.03,0.0007,336
pixel_0701,,,465,0.0005,0.0343,0.0828,1.46,1.08,0.0007,337
pixel_0293,,,29,0.0030,0.0605,0.1402,1.22,0.85,0.0006,338
pixel_0488,,,38,0.0028,0.0534,0.1249,1.27,0.90,0.0006,339
pixel_0050,,,318,0.0008,0.0635,0.1460,1.20,0.84,0.0006,340
pixel_0661,,,90,0.0017,0.0506,0.1188,1.30,0.93,0.0006,341
pixel_0523,,,736,0.0001,0.0590,0.1373,1.23,0.86,0.0006,342
pixel_0521,,,447,0.0005,0.0848,0.1921,1.07,0.72,0.0005,343
pixel_0486,,,314,0.0008,0.0892,0.2010,1.05,0.70,0.0005,344
pixel_0204,,,45,0.0026,0.0689,0.1581,1.16,0.80,0.0005,345
pixel_0418,,,489,0.0005,0.1160,0.2599,0.94,0.59,0.0005,346
pixel_0487,,,416,0.0006,0.0944,0.2120,1.03,0.67,0.0004,347
pixel_0343,,,3,0.0066,0.1303,0.2903,0.88,0.54,0.0004,348
pixel_0781,,,777,0.0000,0.0891,0.2010,1.05,0.70,0.0004,349
pixel_0168,,,130,0.0014,0.0830,0.1887,1.08,0.72,0.0004,350
pixel_0748,,,667,0.0002,0.0729,0.1661,1.14,0.78,0.0004,351
pixel_0275,,,336,0.0007,0.1463,0.3231,0.83,0.49,0.0004,352
pixel_0132,,,472,0.0005,0.1483,0.3256,0.83,0.49,0.0004,353
pixel_0326,,,694,0.0001,0.1410,0.3123,0.85,0.51,0.0003,354
pixel_0583,,,776,0.0000,0.1215,0.2713,0.92,0.57,0.0003,355
pixel_0374,,,159,0.0013,0.1381,0.3067,0.86,0.51,0.0003,356
pixel_0584,,,267,0.0009,0.2689,0.5607,0.57,0.25,0.0003,357
pixel_0346,,,395,0.0006,0.1619,0.3545,0.79,0.45,0.0003,358
pixel_0034,,,556,0.0003,0.2055,0.4439,0.69,0.35,0.0003,359
pixel_0336,,,508,0.0004,0.1475,0.3248,0.83,0.49,0.0002,360
pixel_0376,,,22,0.0032,0.1967,0.4284,0.71,0.37,0.0002,361
pixel_0017,,,12,0.0038,0.2088,0.4485,0.68,0.35,0.0002,362
pixel_0225,,,93,0.0017,0.2244,0.4793,0.65,0.32,0.0002,363
pixel_0047,,,651,0.0002,0.1986,0.4314,0.70,0.37,0.0002,364
pixel_0560,,,355,0.0007,0.2073,0.4466,0.68,0.35,0.0002,365
pixel_0123,,,430,0.0006,0.1906,0.4163,0.72,0.38,0.0002,366
pixel_0335,,,778,0.0000,0.2519,0.5295,0.60,0.28,0.0002,367
pixel_0531,,,459,0.0005,0.2173,0.4654,0.66,0.33,0.0002,368
pixel_0305,,,390,0.0006,0.2370,0.5030,0.63,0.30,0.0002,369
pixel_0302,,,178,0.0012,0.2840,0.5875,0.55,0.23,0.0002,370
pixel_0529,,,646,0.0002,0.2335,0.4975,0.63,0.30,0.0002,371
pixel_0270,,,129,0.0014,0.2803,0.5830,0.55,0.23,0.0002,372
pixel_0656,,,746,0.0000,0.2033,0.4402,0.69,0.36,0.0002,373
pixel_0575,,,584,0.0003,0.2454,0.5186,0.61,0.29,0.0002,374
pixel_0625,,,440,0.0005,0.2374,0.5030,0.62,0.30,0.0002,375
pixel_0642,,,172,0.0012,0.2488,0.5244,0.60,0.28,0.0002,376
pixel_0740,,,365,0.0007,0.3070,0.6285,0.51,0.20,0.0002,377
pixel_0459,,,504,0.0004,0.2572,0.5392,0.59,0.27,0.0002,378
pixel_0295,,,727,0.0001,0.2618,0.5474,0.58,0.26,0.0001,379
pixel_0232,,,640,0.0002,0.2815,0.5838,0.55,0.23,0.0001,380
pixel_0330,,,411,0.0006,0.2871,0.5923,0.54,0.23,0.0001,381
pixel_0451,,,56,0.0022,0.3278,0.6675,0.48,0.18,0.0001,382
pixel_0235,,,400,0.0006,0.3088,0.6306,0.51,0.20,0.0001,383
pixel_0251,[T],,164,0.0013,0.2898,0.5948,0.54,0.23,0.0001,384
pixel_0407,,,120,0.0015,0.2896,0.5948,0.54,0.23,0.0001,385
pixel_0706,,,109,0.0016,0.3505,0.7120,0.46,0.15,0.0001,386
pixel_0267,,,471,0.0005,0.3891,0.7742,0.41,0.11,0.0001,387
pixel_0446,,,360,0.0007,0.3637,0.7349,0.44,0.13,0.0001,388
pixel_0012,,,257,0.0009,0.3637,0.7349,0.44,0.13,0.0001,389
pixel_0274,,,576,0.0003,0.3684,0.7426,0.43,0.13,0.0001,390
pixel_0148,,,7,0.0046,0.4215,0.8346,0.38,0.08,0.0001,391
pixel_0088,,,378,0.0006,0.3732,0.7502,0.43,0.12,0.0001,392
pixel_0357,[T],,210,0.0011,0.3882,0.7742,0.41,0.11,0.0001,393
pixel_0365,,,643,0.0002,0.3812,0.7624,0.42,0.12,0.0001,394
pixel_0484,,,575,0.0003,0.3777,0.7574,0.42,0.12,0.0001,395
pixel_0463,,,490,0.0005,0.3904,0.7748,0.41,0.11,0.0001,396
pixel_0041,,,559,0.0003,0.4582,0.8883,0.34,0.05,0.0000,397
pixel_0647,,,780,0.0000,0.4262,0.8417,0.37,0.07,0.0000,398
pixel_0770,[T],,486,0.0005,0.4417,0.8658,0.35,0.06,0.0000,399
pixel_0566,,,568,0.0003,0.4370,0.8608,0.36,0.07,0.0000,400
pixel_0449,,,299,0.0008,0.4589,0.8883,0.34,0.05,0.0000,401
pixel_0637,,,513,0.0004,0.4386,0.8618,0.36,0.06,0.0000,402
pixel_0465,,,632,0.0002,0.4435,0.8671,0.35,0.06,0.0000,403
pixel_0140,,,131,0.0014,0.4546,0.8844,0.34,0.05,0.0000,404
pixel_0515,,,156,0.0013,0.4664,0.9006,0.33,0.05,0.0000,405
pixel_0491,[T],,52,0.0024,0.4451,0.8681,0.35,0.06,0.0000,406
pixel_0367,,,779,0.0000,0.4691,0.9036,0.33,0.04,0.0000,407
pixel_0197,,,443,0.0005,0.4961,0.9515,0.30,0.02,0.0000,408
pixel_0681,[T],,653,0.0002,0.4964,0.9515,0.30,0.02,0.0000,409
pixel_0074,,,637,0.0002,0.5046,0.9625,0.30,0.02,0.0000,410
pixel_0686,,,652,0.0002,0.5016,0.9591,0.30,0.02,0.0000,411
pixel_0727,,,4,0.0049,0.5207,0.9884,0.28,0.01,0.0000,412
pixel_0342,,,203,0.0011,0.5180,0.9857,0.29,0.01,0.0000,413
pixel_0534,,,723,0.0001,0.5221,0.9886,0.28,0.00,0.0000,414
pixel_0297,,,781,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,415
pixel_0311,,,692,0.0001,1.0000,1.0000,-0.00,-0.00,-0.0000,416
pixel_0432,,,691,0.0002,1.0000,1.0000,-0.00,-0.00,-0.0000,417
pixel_0423,,,36,0.0029,1.0000,1.0000,-0.00,-0.00,-0.0000,418
pixel_0292,[T],,321,0.0008,1.0000,1.0000,-0.00,-0.00,-0.0000,419
pixel_0608,,,388,0.0006,1.0000,1.0000,-0.00,-0.00,-0.0000,420
pixel_0203,,,166,0.0013,1.0000,1.0000,-0.00,-0.00,-0.0000,421
pixel_0238,,,784,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,422
pixel_0664,,,602,0.0003,1.0000,1.0000,-0.00,-0.00,-0.0000,423
pixel_0669,,,751,0.0000,1.0000,1.0000,-0.00,-0.00,-0.0000,424
pixel_0211,,,240,0.0010,1.0000,1.0000,-0.00,-0.00,-0.0000,425
